Čas,Teplota,Napětí,Podíl teplot,Zlogaritmovaný odpor
2022-01-16 11:17:11.771798,63.062,0.9885498046875,0.002974313825800388,8.36094900070573
2022-01-16 11:17:41.772677,53.25,1.1287353515625,0.003063725490196079,8.556128434970093
2022-01-16 11:18:11.772404,51.0,1.095703125,0.0030849915162733305,8.51132807196384
2022-01-16 11:18:41.782666,48.75,1.168212890625,0.003106554830692762,8.608854862715901
2022-01-16 11:19:11.772727,46.437,1.2060791015624999,0.0031290384152046235,8.65867672175432
2022-01-16 11:19:41.772524,46.437,1.2785888671874999,0.0031290384152046235,8.75230154613617
2022-01-16 11:20:11.772544,41.0,1.3261230468749998,0.0031831927423205475,8.812600449674425
2022-01-16 11:20:41.773160,38.312,1.3720458984375,0.003210664543347182,8.870183964730497
2022-01-16 11:21:11.772532,38.312,1.4381103515625,0.003210664543347182,8.952078455915542
2022-01-16 11:21:41.772549,35.187,1.509814453125,0.00324320467540386,9.040007864574974
2022-01-16 11:22:11.772712,32.437,1.5476806640624998,0.0032723905139943783,9.086157591221955
2022-01-16 11:22:41.773083,31.125,1.651611328125,0.0032865006983813986,9.212293497597065
2022-01-16 11:23:11.772548,29.625,1.6685302734374998,0.003302782594335728,9.232802253831128
2022-01-16 11:23:41.812386,28.5,1.6854492187499999,0.003315100281783524,9.25331573495624
2022-01-16 11:24:11.773196,27.812,1.7281494140625,0.0033226786105887123,9.305137862715188
2022-01-16 11:24:41.772580,25.937,1.791796875,0.0033435087449471225,9.382640370309119
2022-01-16 11:25:11.772605,24.625,1.8441650390625,0.003358240282092184,9.446787401336522
2022-01-16 11:25:41.772728,23.062,1.8659179687499998,0.003375960460751084,9.473568567382937
2022-01-16 11:26:11.775499,21.625,1.9086181640625,0.003392417945890934,9.526422497988289
2022-01-16 11:26:41.772531,20.687,1.944873046875,0.003403247378648707,9.571641933100766
2022-01-16 11:27:11.772531,19.75,1.980322265625,0.003414134516899966,9.616212397689148
2022-01-16 11:27:41.772605,19.0,1.998046875,0.0034228991956186893,9.63864497205417
2022-01-16 11:28:11.772657,18.312,2.0214111328124997,0.0034309789955465895,9.668379197816195
2022-01-16 11:28:41.772563,17.625,2.064111328125,0.003439085203335913,9.723249872505662
2022-01-16 11:29:11.772634,16.25,2.07216796875,0.0034554250172771253,9.7336857210871
2022-01-16 11:29:41.772611,15.875,2.0842529296875,0.003459908312429721,9.749392095394363
2022-01-16 11:30:11.772527,15.312,2.1213134765625,0.0034666611200088746,9.797975130452368
2022-01-16 11:30:41.772677,14.625,2.1374267578125,0.003474937016766571,9.819307167340051
2022-01-16 11:31:11.772733,13.937,2.1583740234374997,0.00348326465496522,9.84724200183011
2022-01-16 11:31:41.772763,13.687,2.165625,0.003486300581863567,9.856967536901236
2022-01-16 11:32:11.772540,13.125,2.196240234375,0.0034931447035193436,9.89836496541049
2022-01-16 11:32:41.772687,12.625,2.2018798828125,0.0034992564080132973,9.906052126207719
2022-01-16 11:33:11.772546,12.187,2.209130859375,0.00350462786109057,9.915964778626222
2022-01-16 11:33:41.772583,11.562,2.2324951171875,0.003512321222849757,9.948136178418839
2022-01-16 11:34:11.772673,11.187,2.238134765625,0.0035169534742224896,9.95595618022802
2022-01-16 11:34:41.772502,10.875,2.255859375,0.003520816829504445,9.980677191227258
2022-01-16 11:35:11.772526,10.437,2.257470703125,0.0035262547295891564,9.98293562381229
2022-01-16 11:35:41.772651,10.187,2.2671386718749997,0.0035293660905564754,9.996525972169902
2022-01-16 11:36:11.772528,9.687,2.2872802734374997,0.003535605313307665,10.025064319858906
2022-01-16 11:36:41.772617,9.312,2.3009765625,0.003540299226090589,10.044651036836575
2022-01-16 11:37:11.772599,9.125,2.305810546875,0.003542644584182092,10.051600127627246
2022-01-16 11:37:41.772577,8.937,2.3074218749999997,0.003545005618833906,10.053920755963254
2022-01-16 11:38:11.772507,8.562,2.3162841796875,0.0035497245413755895,10.066722851096928
2022-01-16 11:38:41.772517,8.125,2.3307861328125,0.003555239534263621,10.08781596097764
2022-01-16 11:39:11.772534,7.812,2.3404541015625,0.0035592001765363287,10.101980471906895
2022-01-16 11:39:41.772524,7.625,2.354150390625,0.0035615706526578223,10.122191963898786
2022-01-16 11:40:11.772540,7.5,2.357373046875,0.003563156957063959,10.12697292576445
2022-01-16 11:40:41.772544,7.125,2.3726806640625,0.0035679243600035683,10.149818059339987
2022-01-16 11:41:11.772534,6.75,2.3759033203124997,0.0035727045373347625,10.154656663662088
2022-01-16 11:41:41.772537,6.625,2.3775146484375,0.0035743007774104193,10.157079830930781
2022-01-16 11:42:11.772547,6.562,2.3920166015624997,0.0035751058231323646,10.179006332700165
2022-01-16 11:42:41.772551,6.187,2.3904052734375,0.0035799052757064047,10.176559428117343
2022-01-16 11:43:11.772530,5.937,2.399267578125,0.0035831120761626303,10.190050931505093
2022-01-16 11:43:41.773469,5.75,2.4049072265625,0.0035855145213338118,10.198679608163255
